startup_name,angel,startup_industry,region,startup_location,total_participation_in_percent,birthdate,count
ARTMO GmbH,Florian_Huber_Beteiligungen_GmbH,media,munich,hamburg,1.60640716,1973-08-23 0:00:00,1
ARTMO GmbH,Ralph_Müller,media,frankfurt,hamburg,2.009466667,1971-05-19 0:00:00,1
ARTMO GmbH,Invisible_Hand_Ventures_GmbH,media,munich,hamburg,5.510133333,1967-06-06 0:00:00,1
ARTMO GmbH,MAYD_Group_Trust_UG_(haftungsbeschränkt)_AG_Charlottenburg,media,berlin,hamburg,9.6614,1988-03-18 0:00:00,1
ARTMO GmbH,Hendrik_Helwig,media,hamburg,hamburg,0.9666666667,1984-01-12 0:00:00,1
Nuventura GmbH,Pausder_Ventures_GmbH,energy,berlin,berlin,0.499875,1979-02-12 0:00:00,1
Nuventura GmbH,JAN_ARNE_TEGTMEIER,energy,hamburg,berlin,0.8683333333,1976-08-20 0:00:00,1
Nuventura GmbH,JALE_Beteiligungs_GmbH,energy,munich,berlin,15.9199,1975-07-06 0:00:00,1
Nuventura GmbH,Dr._Stefan_Wiskemann,energy,hamburg,berlin,5.18057589,1964-02-14 0:00:00,1
Nuventura GmbH,Booom_Capital_GmbH,energy,berlin,berlin,0.3203,1989-12-09 0:00:00,1
Nuventura GmbH,Renner_Ventures_&_Philanthropies_GmbH,energy,munich,berlin,3.335972672,1984-04-28 0:00:00,1
Nuventura GmbH,Ole_Ventures_GmbH,energy,other,berlin,3.391466667,1985-03-07 0:00:00,1
Nuventura GmbH,Patentwert_PW_GmbH,energy,berlin,berlin,4.419666667,1972-09-22 0:00:00,1
Nuventura GmbH,Diako_Thüringen_gGmbH,energy,hamburg,berlin,14.67666667,1987-05-20 0:00:00,1
Nuventura GmbH,Michael_Schrezenmaier,energy,berlin,berlin,0.236275,1982-03-25 0:00:00,1
Nuventura GmbH,Knorke_Ventures_UG_(haftungsbeschränkt),energy,berlin,berlin,10.188875,1980-07-04 0:00:00,1
Nuventura GmbH,Dr._Caren_Genthner-Kappesz,energy,berlin,berlin,0.88,1970-08-27 0:00:00,1
Nuventura GmbH,Monday_Invest_GmbH,energy,cologne,berlin,3.658733333,1977-08-01 0:00:00,1
Nuventura GmbH,Tuennermann_Ventures_GmbH,energy,other,berlin,2.1174,1981-01-17 0:00:00,1
INPERA GmbH,Stephan_Huber,construction,other,berlin,10.0878706,1970-07-25 0:00:00,1
INPERA GmbH,Felix_Jahn_Beteiligungen_GmbH,construction,berlin,berlin,2.404628571,1982-04-06 0:00:00,1
INPERA GmbH,JG_Holding_GmbH,construction,cologne,berlin,44.2,1980-07-23 0:00:00,1
INPERA GmbH,non_olet_GmbH,construction,hamburg,berlin,1.40326,1968-06-01 0:00:00,1
INPERA GmbH,Scalar_Ventures_GmbH,construction,munich,berlin,1.048807811,1972-06-10 0:00:00,1
INPERA GmbH,AVOVA_Holding_GmbH,construction,berlin,berlin,0.8333333333,1977-08-17 0:00:00,1
INPERA GmbH,Hunaja_Capital_GmbH,construction,berlin,berlin,0.3186,1983-03-05 0:00:00,1
INPERA GmbH,Jacobo_Invest_GmbH,construction,stuttgart,berlin,16.2249125,1973-03-30 0:00:00,1
INPERA GmbH,Vealo_Ventures_GmbH,construction,other,berlin,4.111549632,1974-07-18 0:00:00,1
INPERA GmbH,CG_Ventures_GmbH_Baiersbronn,construction,stuttgart,berlin,7.089746667,1985-12-29 0:00:00,1
INPERA GmbH,B.I.G._Holding_SE,construction,berlin,berlin,31.19705,,1
INPERA GmbH,WOLFGANG_SCHMIDT,construction,cologne,berlin,0.7533333333,1968-08-20 0:00:00,1
INPERA GmbH,Charles_Maxim_Rolfe_Songhurst,construction,international,berlin,1.004878571,1978-09-18 0:00:00,1
INPERA GmbH,Torsten_Kurth,construction,berlin,berlin,0.4275,1973-02-25 0:00:00,1
INPERA GmbH,Schwarzenholz_Ventures_GmbH,construction,berlin,berlin,0.3631,1981-11-04 0:00:00,1
INPERA GmbH,Auspicium_Beteiligungs_UG_(haftungsbeschränkt),construction,munich,berlin,1.01,,1
Crimson GmbH,Untermotorisiert_GmbH_AG,finance,munich,berlin,3.726666667,1984-08-13 0:00:00,1
Crimson GmbH,MCB_Pepper_GmbH_mit_Sitz_in_Berlin,finance,berlin,berlin,1.21865,1980-01-22 0:00:00,1
Crimson GmbH,Ralph_Müller,finance,frankfurt,berlin,2.009466667,1971-05-19 0:00:00,1
Crimson GmbH,Pink_Capital_GmbH,finance,berlin,berlin,2.394,1993-10-22 0:00:00,1
Crimson GmbH,VI_VV_GmbH,finance,cologne,berlin,3.086666667,1974-09-10 0:00:00,1
Crimson GmbH,Carsten_Franz_Brandt,finance,frankfurt,berlin,0.6725,1974-12-23 0:00:00,1
Crimson GmbH,Andreas_und_Thomas_Schroeter_Beteiligungsgesellschaft_mbH,finance,munich,berlin,0.3455,,1
Crimson GmbH,Hanse_Ventures_BSJ_GmbH,finance,hamburg,berlin,18.15857143,1982-10-03 0:00:00,1
Crimson GmbH,PK_Projects_GmbH,finance,berlin,berlin,2.90884,1976-05-28 0:00:00,1
Hive Technologies GmbH,JM_Venture_UG_(haftungsbeschränkt),logistics,cologne,berlin,14.0879,1978-01-30 0:00:00,1
Hive Technologies GmbH,F._R._Roehder_GmbH,logistics,berlin,berlin,1.503333333,1983-10-04 0:00:00,1
Hive Technologies GmbH,EQT_Ventures_Investments_S.à.r.l.,logistics,international,berlin,15.95453333,1965-05-08 0:00:00,1
Hive Technologies GmbH,"Schönburg,_Benjamin",logistics,berlin,berlin,0.2151666667,1990-01-15 0:00:00,1
Hive Technologies GmbH,Sidus_GmbH,logistics,hamburg,berlin,0.735,1973-08-03 0:00:00,1
Loxonet GmbH,STEFAN_SCHMÖLZ,software,munich,hamburg,0.62,1973-01-17 0:00:00,1
Loxonet GmbH,Florian_Huber_Beteiligungen_GmbH,software,munich,hamburg,1.60640716,1973-08-23 0:00:00,1
Loxonet GmbH,DR._MARTIN_HECKER,software,hamburg,hamburg,0.67,1966-10-19 0:00:00,1
Loxonet GmbH,DIRK_BREITBACH,software,cologne,hamburg,0.492,1969-08-18 0:00:00,1
Loxonet GmbH,Rebellion_Ventures_UG_(haftungsbeschränkt),software,berlin,hamburg,0.6309,1973-04-28 0:00:00,1
Loxonet GmbH,Christian_Orsinger,software,cologne,hamburg,2.94,1961-05-29 0:00:00,1
Loxonet GmbH,GPF_-_Global_Peace_Fund_UG_(haftungsbeschränkt),software,berlin,hamburg,37.82,1977-05-11 0:00:00,1
Loxonet GmbH,Dr._Joachim_Maus,software,frankfurt,hamburg,0.2725,1967-01-26 0:00:00,1
Loxonet GmbH,Glaser_Ventures_UG_(haftungsbeschränkt),software,berlin,hamburg,25.802384,1982-07-27 0:00:00,1
Loxonet GmbH,Jörg_Johannes_Schröder,software,hamburg,hamburg,3.625,1963-01-05 0:00:00,1
Loxonet GmbH,Matthias_Urlichs,software,other,hamburg,0.628,1966-06-08 0:00:00,1
Loxonet GmbH,Richmond_&_Barnes_GmbH_mit_Sitz_in_München,software,munich,hamburg,4.615,1967-07-10 0:00:00,1
Loxonet GmbH,Jacobo_Invest_GmbH,software,stuttgart,hamburg,16.2249125,1973-03-30 0:00:00,1
Loxonet GmbH,Bochum_Ventures_GmbH,software,cologne,hamburg,26.0174375,1985-02-05 0:00:00,1
Loxonet GmbH,CG_Ventures_GmbH_Baiersbronn,software,stuttgart,hamburg,7.089746667,1985-12-29 0:00:00,1
Loxonet GmbH,Ralph_Müller,software,frankfurt,hamburg,2.009466667,1971-05-19 0:00:00,1
Loxonet GmbH,S.W._Projects_GmbH,software,cologne,hamburg,0.206675,1983-10-21 0:00:00,1
Kenjo GmbH,KM_596_GmbH,staffing,cologne,berlin,19.71444,1980-02-11 0:00:00,1
Kenjo GmbH,Solanus_GmbH,staffing,hamburg,berlin,0.766825,1969-04-12 0:00:00,1
Kenjo GmbH,eNugget_Ventures_UG_(haftungsbeschränkt),staffing,berlin,berlin,1.4479,1984-08-19 0:00:00,1
Kenjo GmbH,Maruhn_Budack_Values_UG_(haftungsbeschränkt),staffing,berlin,berlin,8.0175,1990-09-08 0:00:00,1
Kenjo GmbH,Michael_Schrezenmaier,staffing,berlin,berlin,0.236275,1982-03-25 0:00:00,1
Kenjo GmbH,Next_Big_Thing_AG,staffing,berlin,berlin,58.97683333,1971-02-14 0:00:00,1
Kenjo GmbH,BCF_Weboptions,staffing,cologne,berlin,10.396,1988-12-14 0:00:00,1
Kenjo GmbH,TIC_Ventures_GmbH,staffing,berlin,berlin,25.02606667,1984-09-26 0:00:00,1
Kenjo GmbH,Hoffschmidt_Ventures_GmbH,staffing,berlin,berlin,5.4772,1988-07-14 0:00:00,1
Kenjo GmbH,Kelly_Neal_Ford,staffing,berlin,berlin,0.616,1967-05-24 0:00:00,1
Kenjo GmbH,Alvio_GmbH,staffing,berlin,berlin,2.4475,1982-01-05 0:00:00,1
Kenjo GmbH,Mercutio_GmbH_Berlin,staffing,berlin,berlin,1.546,1979-07-18 0:00:00,1
Kenjo GmbH,OMA_Ventures_GmbH,staffing,munich,berlin,0.08055,1982-06-17 0:00:00,1
Kenjo GmbH,Pandora_Investments_GmbH,staffing,hamburg,berlin,6.2775,1966-10-03 0:00:00,1
Kenjo GmbH,Wax_Venture_UG_(haftungsbeschränkt),staffing,other,berlin,8.421720604,1984-02-13 0:00:00,1
Fastic GmbH,Felix_Haas_Beteiligungsgesellschaft_mbH,food,munich,berlin,5.401933333,1981-08-29 0:00:00,1
Fastic GmbH,Hübner_Invest_GmbH,food,munich,berlin,24.466275,,1
Fastic GmbH,Wax_Venture_UG_(haftungsbeschränkt),food,other,berlin,8.421720604,1984-02-13 0:00:00,1
Fastic GmbH,Inventures_GmbH,food,munich,berlin,5.6013,1989-02-10 0:00:00,1
Fastic GmbH,Stephan_Huber,food,other,berlin,10.0878706,1970-07-25 0:00:00,1
Fastic GmbH,Next_Big_Thing_AG,food,berlin,berlin,58.97683333,1971-02-14 0:00:00,1
Fastic GmbH,Dr._Christian_Dahlen,food,international,berlin,2.696066667,1963-03-18 0:00:00,1
Fastic GmbH,MTec_Holding_GmbH,food,stuttgart,berlin,10.27045592,1969-02-06 0:00:00,1
Fastic GmbH,BS_Beteiligungen_UG_(haftungsbeschränkt),food,international,berlin,40.16666667,1991-08-09 0:00:00,1
Fastic GmbH,Fadelia_GmbH_AG,food,berlin,berlin,1.352,1983-10-14 0:00:00,1
Fastic GmbH,Begemann_Capital_GmbH,food,berlin,berlin,6.1955,1978-10-10 0:00:00,1
Fastic GmbH,Rho_Holding_UG_(haftungsbeschränkt),food,berlin,berlin,1.332,1988-08-23 0:00:00,1
Fastic GmbH,AllgäuSports_WSH_GmbH_mit_dem_Sitz_in_Aichstetten,food,munich,berlin,4.98715,1975-11-11 0:00:00,1
FLEXVELOP GmbH,Final_Frontier_GmbH,finance,other,hamburg,4.01995,1983-03-13 0:00:00,1
FLEXVELOP GmbH,Niklas_Günther,finance,hamburg,hamburg,27.77776667,1983-11-06 0:00:00,1
FLEXVELOP GmbH,Cinco_Capital_GmbH,finance,berlin,hamburg,24.56666667,1968-10-28 0:00:00,1
FLEXVELOP GmbH,newberry_Beteiligungs_GmbH,finance,stuttgart,hamburg,15.39066667,1966-04-10 0:00:00,1
FLEXVELOP GmbH,JAN_ARNE_TEGTMEIER,finance,hamburg,hamburg,0.8683333333,1976-08-20 0:00:00,1
FLEXVELOP GmbH,Hanse_Ventures_BSJ_GmbH,finance,hamburg,hamburg,18.15857143,1982-10-03 0:00:00,1
FLEXVELOP GmbH,Florian_Huber_Beteiligungen_GmbH,finance,munich,hamburg,1.60640716,1973-08-23 0:00:00,1
FLEXVELOP GmbH,Dr._MARCUS_HEIDEMANN,finance,other,hamburg,0.5666666667,1970-01-11 0:00:00,1
FLEXVELOP GmbH,Lutz_Kettner,finance,berlin,hamburg,0.5736666667,1967-02-02 0:00:00,1
FLEXVELOP GmbH,GPF_-_Global_Peace_Fund_UG_(haftungsbeschränkt),finance,berlin,hamburg,37.82,1977-05-11 0:00:00,1
FLEXVELOP GmbH,Mehl_Beteiligungen_GmbH,finance,munich,hamburg,1.358856664,1985-01-01 0:00:00,1
Receeve GmbH,JG_Holding_GmbH,finance,cologne,hamburg,44.2,1980-07-23 0:00:00,1
Afilio - Gesellschaft für Vorsorge mbH,Renner_Ventures_&_Philanthropies_GmbH,insurance,munich,berlin,3.335972672,1984-04-28 0:00:00,1
Afilio - Gesellschaft für Vorsorge mbH,eNugget_Ventures_UG_(haftungsbeschränkt),insurance,berlin,berlin,1.4479,1984-08-19 0:00:00,1
bee smart city GmbH,CG_Ventures_GmbH_Baiersbronn,media,stuttgart,mülheim an der ruhr,7.089746667,1985-12-29 0:00:00,1
bee smart city GmbH,Charles_Maxim_Rolfe_Songhurst,media,international,mülheim an der ruhr,1.004878571,1978-09-18 0:00:00,1
bee smart city GmbH,Delta-Invest_GmbH,media,berlin,mülheim an der ruhr,5.860633333,1987-06-13 0:00:00,1
bee smart city GmbH,jvh-ventures_GmbH,media,other,mülheim an der ruhr,21.215,1979-09-27 0:00:00,1
MindPeak GmbH,evermind_GmbH,medicine_biotech,leipzig,hamburg,38.5,1977-07-22 0:00:00,1
RR Technologies GmbH,RICHMOND_VIEW_Ventures_GmbH,medicine_biotech,berlin,berlin,1.432425,1979-10-29 0:00:00,1
RR Technologies GmbH,Eyser_GmbH_Stuttgart,medicine_biotech,stuttgart,berlin,1.421528571,1987-11-06 0:00:00,1
RR Technologies GmbH,OMA_Ventures_GmbH,medicine_biotech,munich,berlin,0.08055,1982-06-17 0:00:00,1
RR Technologies GmbH,Courage_Companies_UG_(haftungsbeschränkt),medicine_biotech,munich,berlin,0.1423666667,1982-08-01 0:00:00,1
RR Technologies GmbH,Oyfri_GmbH,medicine_biotech,berlin,berlin,0.17775,1984-01-19 0:00:00,1
RR Technologies GmbH,CK_Venture_Capital_GmbH,medicine_biotech,munich,berlin,3.71346,1974-01-26 0:00:00,1
RR Technologies GmbH,Pallua_Beteiligungen_UG_(haftungsbeschränkt),medicine_biotech,munich,berlin,6.0436,1988-12-22 0:00:00,1
RR Technologies GmbH,Rotenfels_Verwaltung_GmbH_mit_Sitz_in_Traisen,medicine_biotech,frankfurt,berlin,14.47,1981-06-22 0:00:00,1
Blue Excellence GmbH,Kelly_Neal_Ford,staffing,berlin,potsdam,0.616,1967-05-24 0:00:00,1
Blue Excellence GmbH,Amentory_GmbH,staffing,berlin,potsdam,18.9885,1985-11-28 0:00:00,1
Blue Excellence GmbH,Wax_Venture_UG_(haftungsbeschränkt),staffing,other,potsdam,8.421720604,1984-02-13 0:00:00,1
Blue Excellence GmbH,CK_Venture_Capital_GmbH,staffing,munich,potsdam,3.71346,1974-01-26 0:00:00,1
Blue Excellence GmbH,RONALD_STEFAN_HOPPMANN,staffing,hamburg,potsdam,0.67,1971-05-18 0:00:00,1
Blue Excellence GmbH,Belmond_Capital_UG_(haftungsbeschränkt),staffing,berlin,potsdam,0.2366666667,1981-11-05 0:00:00,1
Blue Excellence GmbH,AllgäuSports_WSH_GmbH_mit_dem_Sitz_in_Aichstetten,staffing,munich,potsdam,4.98715,1975-11-11 0:00:00,1
Blue Excellence GmbH,Solanus_GmbH,staffing,hamburg,potsdam,0.766825,1969-04-12 0:00:00,1
Blue Excellence GmbH,PK_Projects_GmbH,staffing,berlin,potsdam,2.90884,1976-05-28 0:00:00,1
Blue Excellence GmbH,ROMM_Holding_GmbH,staffing,berlin,potsdam,0.7217111111,1980-05-05 0:00:00,1
Blue Excellence GmbH,JTD_Holding_GmbH_AG,staffing,berlin,potsdam,2.785883333,1977-02-09 0:00:00,1
Blue Excellence GmbH,Palatine_Ventures_GmbH,staffing,other,potsdam,17.29606667,1977-06-09 0:00:00,1
Blue Excellence GmbH,Marc_Müller,staffing,other,potsdam,1.290233333,1992-03-06 0:00:00,1
Legal OS GmbH,Inventures_GmbH,legal_consulting,munich,berlin,5.6013,1989-02-10 0:00:00,1
Legal OS GmbH,Twenty-Three_NH_UG_(haftungsbeschränkt),legal_consulting,berlin,berlin,36.19666667,1986-01-23 0:00:00,1
Legal OS GmbH,Dr._Holger_Sprengel,legal_consulting,other,berlin,32.81,1970-12-23 0:00:00,1
Legal OS GmbH,Dr._Gabriele_Laschinski,legal_consulting,berlin,berlin,0.645,1955-05-17 0:00:00,1
Legal OS GmbH,BAK_Venture_GmbH,legal_consulting,other,berlin,8.47722,1987-03-02 0:00:00,1
Legal OS GmbH,Nextinvest_UG_(haftungsbeschränkt),legal_consulting,berlin,berlin,0.7114,1973-12-14 0:00:00,1
